treatment,Psi,P,inPsi
hydro,-0.021897,4.078421053,4.057
NaCl25,-0.116784,3.237777778,3.121
NaCl50,-0.238434,2.428888889,2.19
NaCl75,-0.355218,1.354285714,0.999
NaCl100,-0.435507,0.494117647,0.059
Sorb50,-0.133815,3.1845,3.051
Sorb100,-0.255465,1.755,1.5
Sorb150,-0.369816,1.008666667,0.639
PEG75,-0.07299,3.055,2.982
PEG100,-0.131382,2.616875,2.485
PEG125,-0.209238,1.98625,1.777
PEG150,-0.279795,1.453888889,1.174
eg50,-0.150846,2.972631579,2.822
eg100,-0.26763,2.87,2.602
eg150,-0.394146,2.874705882,2.481
eg200,-0.515796,2.600666667,2.085
hydro,-0.021897,4.078421053,4.057
NaCl25,-0.116784,3.237777778,3.121
NaCl50,-0.238434,2.428888889,2.19
NaCl75,-0.355218,1.354285714,0.999
NaCl100,-0.435507,0.494117647,0.059
Sorb50,-0.133815,3.1845,3.051
Sorb100,-0.255465,1.755,1.5
Sorb150,-0.369816,1.008666667,0.639
PEG75,-0.07299,3.055,2.982
PEG100,-0.131382,2.616875,2.485
PEG125,-0.209238,1.98625,1.777
PEG150,-0.279795,1.453888889,1.174
eg50,-0.150846,2.972631579,2.822
eg100,-0.26763,2.87,2.602
eg150,-0.394146,2.874705882,2.481
eg200,-0.515796,2.600666667,2.085
